geo,year,oil_consumption_barrels
canada,2000,2062.66692
mexico,2000,2045.7898
united_states,2000,19593.51897
total_north_america,2000,23701.97569
argentina,2000,483.65601
brazil,2000,1965.80238
chile,2000,248.0081
colombia,2000,241.23511
ecuador,2000,138.77568
peru,2000,152.82038
trinidad_tobago,2000,30.06923
venezuela,2000,494.41276
central_america,2000,266.41908
other_caribbean,2000,758.73914
other_south_america,2000,132.13072
total_south_central_america,2000,4912.06859
austria,2000,249.38525
belgium,2000,615.86532
bulgaria,2000,89.43912
croatia,2000,79.55145
cyprus,2000,49.08309
czech_republic,2000,165.92376
denmark,2000,210.68481
estonia,2000,22.29869
finland,2000,217.77249
france,2000,1992.49042
germany,2000,2740.79968
greece,2000,396.81266
hungary,2000,143.55555
iceland,2000,16.42607
ireland,2000,169.14717
italy,2000,1930.58992
latvia,2000,26.76593
lithuania,2000,48.6418
luxembourg,2000,48.19451
netherlands,2000,844.71062
north_macedonia,2000,18.88992
norway,2000,197.8714
poland,2000,426.18562
portugal,2000,329.09197
romania,2000,197.03005
slovakia,2000,73.37322
slovenia,2000,49.30322
spain,2000,1415.55295
sweden,2000,359.6544
switzerland,2000,260.25683
turkey,2000,664.14128
ukraine,2000,249.19131
united_kingdom,2000,1707.61286
other_europe,2000,189.45831
total_europe,2000,16195.75165
azerbaijan,2000,120.33525
belarus,2000,156.94557
kazakhstan,2000,159.57768
russian_federation,2000,2540.0129
turkmenistan,2000,105.45715
uzbekistan,2000,137.25503
other_cis,2000,30.77276
total_cis,2000,3250.35633
iran,2000,1347.43258
iraq,2000,494.7029
israel,2000,266.75295
kuwait,2000,238.34646
oman,2000,58.14402
qatar,2000,50.20418
saudi_arabia,2000,1626.8643
united_arab_emirates,2000,375.57148
other_middle_east,2000,578.3115
total_middle_east,2000,5036.33035
algeria,2000,190.39505
egypt,2000,552.63459
morocco,2000,149.70432
south_africa,2000,455.50477
eastern_africa,2000,262.00937
middle_africa,2000,91.50835
western_africa,2000,392.57556
other_northern_africa,2000,317.60354
other_southern_africa,2000,32.85152
total_africa,2000,2444.78708
australia,2000,827.43743
bangladesh,2000,67.97057
china,2000,4655.43748
china_hong_kong_sar,2000,204.13874
india,2000,2279.46774
indonesia,2000,1112.30483
japan,2000,5690.68101
malaysia,2000,495.51261
new_zealand,2000,130.4504
pakistan,2000,372.03869
philippines,2000,344.86339
singapore,2000,695.99951
south_korea,2000,2208.98589
sri_lanka,2000,75.38516
taiwan,2000,869.22376
thailand,2000,753.31854
vietnam,2000,173.50775
other_asia_pacific,2000,203.98048
total_asia_pacific,2000,21160.70399
total_world,2000,76701.97368
algeria,all,8538.63556
argentina,all,14745.70807
australia,all,23903.42252
austria,all,6460.96284
azerbaijan,all,2483.5185
bangladesh,all,3394.49751
belarus,all,4084.7021
belgium,all,15525.43946
brazil,all,57899.4888
bulgaria,all,2420.5605
canada,all,58331.64163
central_america,all,9509.42016
chile,all,8378.43491
china,all,257733.92096000002
china_hong_kong_sar,all,7909.1323
colombia,all,8259.28652
croatia,all,1923.61588
cyprus,all,1274.64897
czech_republic,all,4807.16759
denmark,all,4251.37282
eastern_africa,all,12344.13621
ecuador,all,5354.24331
egypt,all,17198.28331
estonia,all,701.87667
finland,all,4999.51177
france,all,41858.40995
germany,all,59411.25008
greece,all,8650.29198
hungary,all,3809.41236
iceland,all,420.50189
india,all,94395.17659
indonesia,all,35505.41955
iran,all,42833.30601
iraq,all,16136.14716
ireland,all,3990.8989699999997
israel,all,5753.88882
italy,all,37862.82964
japan,all,113470.4126
kazakhstan,all,6246.01653
kuwait,all,10890.06301
latvia,all,852.13488
lithuania,all,1445.66607
luxembourg,all,1393.35978
malaysia,all,18240.92523
mexico,all,51068.48933
middle_africa,all,5132.96523
morocco,all,6115.02507
netherlands,all,22967.7976
new_zealand,all,3804.92369
north_macedonia,all,503.32894999999996
norway,all,5397.57134
oman,all,3693.90909
other_asia_pacific,all,9424.47533
other_caribbean,all,17033.16954
other_cis,all,1719.12438
other_europe,all,7663.4959
other_middle_east,all,16024.34477
other_northern_africa,all,8621.25724
other_south_america,all,4680.36064
other_southern_africa,all,1170.11766
pakistan,all,10648.76636
peru,all,5032.68195
philippines,all,9061.6555
poland,all,13965.83924
portugal,all,6594.70828
qatar,all,5954.6993600000005
romania,all,5130.64677
russian_federation,all,77366.00852
saudi_arabia,all,77039.93597
singapore,all,27579.38238
slovakia,all,1953.46649
slovenia,all,1285.44433
south_africa,all,13036.08843
south_korea,all,62727.9004
spain,all,33059.92699
sri_lanka,all,2553.4894
sweden,all,7619.2528600000005
switzerland,all,5828.14359
taiwan,all,23983.62839
thailand,all,26792.65296
total_africa,all,89077.35512000001
total_asia_pacific,all,741164.94875
total_cis,all,98076.95354
total_europe,all,380008.77612
total_middle_east,all,197173.45554
total_north_america,all,584045.89518
total_south_central_america,all,146076.79788
total_world,all,2235624.1822
trinidad_tobago,all,939.83231
turkey,all,20422.049
turkmenistan,all,3336.86118
ukraine,all,6564.29867
united_arab_emirates,all,18847.16137
united_kingdom,all,38992.89408
united_states,all,474645.76423
uzbekistan,all,2840.72242
venezuela,all,14244.17167
vietnam,all,10035.16705
western_africa,all,16920.84633
canada,2001,2138.49366
mexico,2001,2026.13423
united_states,2001,19534.48736
total_north_america,2001,23699.11526
argentina,2001,461.86307
brazil,2001,1986.42522
chile,2001,242.31398
colombia,2001,240.29521
ecuador,2001,144.07386
peru,2001,145.63627
trinidad_tobago,2001,30.9383
venezuela,2001,554.82541
central_america,2001,284.92618
other_caribbean,2001,795.14036
other_south_america,2001,126.18759
total_south_central_america,2001,5012.62546
austria,2001,265.00299
belgium,2001,625.87238
bulgaria,2001,93.47994
croatia,2001,80.82301
cyprus,2001,49.48329
czech_republic,2001,176.20669
denmark,2001,202.82151
estonia,2001,25.91304
finland,2001,214.28984
france,2001,1998.4544
germany,2001,2779.65408
greece,2001,403.69755
hungary,2001,139.24693
iceland,2001,15.4186
ireland,2001,181.76173
italy,2001,1894.87197
latvia,2001,31.04497
lithuania,2001,53.37208
luxembourg,2001,51.2694
netherlands,2001,886.23074
north_macedonia,2001,15.57795
norway,2001,211.71081
poland,2001,419.35634
portugal,2001,328.40506
romania,2001,210.98942
slovakia,2001,66.71575
slovenia,2001,51.83173
spain,2001,1460.30088
sweden,2001,366.27893
switzerland,2001,278.264
turkey,2001,615.35288
ukraine,2001,278.20542
united_kingdom,2001,1705.40389
other_europe,2001,220.65383
total_europe,2001,16397.96205
azerbaijan,2001,79.25186
belarus,2001,151.99962
kazakhstan,2001,157.70638
russian_federation,2001,2627.68885
turkmenistan,2001,86.1852
uzbekistan,2001,135.55304
other_cis,2001,32.05529
total_cis,2001,3270.44024
iran,2001,1392.94473
iraq,2001,566.89019
israel,2001,248.96078
kuwait,2001,241.36208
oman,2001,66.3534
qatar,2001,59.46364
saudi_arabia,2001,1745.96167
united_arab_emirates,2001,375.72986
other_middle_east,2001,592.83952
total_middle_east,2001,5290.50587
algeria,2001,197.55359
egypt,2001,529.56967
morocco,2001,151.64085
south_africa,2001,466.59632
eastern_africa,2001,290.65257
middle_africa,2001,95.62482
western_africa,2001,413.57131
other_northern_africa,2001,317.55267
other_southern_africa,2001,36.46463
total_africa,2001,2499.22642
australia,2001,830.22637
bangladesh,2001,81.37926
china,2001,4762.09828
china_hong_kong_sar,2001,242.33181
india,2001,2301.88901
indonesia,2001,1155.12225
japan,2001,5528.51265
malaysia,2001,540.7606
new_zealand,2001,132.61822
pakistan,2001,366.32792
philippines,2001,343.63288
singapore,2001,748.64729
south_korea,2001,2216.58149
sri_lanka,2001,73.60631
taiwan,2001,919.02624
thailand,2001,753.3096
vietnam,2001,188.85518
other_asia_pacific,2001,215.34088
total_asia_pacific,2001,21400.26624
total_world,2001,77570.14154
canada,2002,2231.63801
mexico,2002,1931.23473
united_states,2002,19625.00918
total_north_america,2002,23787.88191
argentina,2002,435.37888
brazil,2002,1937.00307
chile,2002,246.26752
colombia,2002,238.1858
ecuador,2002,143.29592
peru,2002,144.82928
trinidad_tobago,2002,33.00108
venezuela,2002,586.70197
central_america,2002,288.4594
other_caribbean,2002,799.39189
other_south_america,2002,125.32782
total_south_central_america,2002,4977.84264
austria,2002,270.98742
belgium,2002,625.32498
bulgaria,2002,93.10635
croatia,2002,84.60729
cyprus,2002,49.08189
czech_republic,2002,171.00219
denmark,2002,196.18816
estonia,2002,28.86668
finland,2002,217.24603
france,2002,1944.70796
germany,2002,2685.36307
greece,2002,406.34135
hungary,2002,131.2678
iceland,2002,16.02268
ireland,2002,177.77749
italy,2002,1928.05833
latvia,2002,30.72879
lithuania,2002,52.28688
luxembourg,2002,52.13566
netherlands,2002,898.16114
north_macedonia,2002,17.69061
norway,2002,210.86941
poland,2002,429.60003
portugal,2002,340.07201
romania,2002,219.80844
slovakia,2002,74.55313
slovenia,2002,50.34742
spain,2002,1488.09818
sweden,2002,370.00518
switzerland,2002,264.2437
turkey,2002,654.3077
ukraine,2002,284.64811
united_kingdom,2002,1699.58444
other_europe,2002,237.02248
total_europe,2002,16400.11298
azerbaijan,2002,72.91348
belarus,2002,161.72044
kazakhstan,2002,156.76373
russian_federation,2002,2543.54754
turkmenistan,2002,101.6149
uzbekistan,2002,134.28395
other_cis,2002,32.38622
total_cis,2002,3203.23025
iran,2002,1409.56183
iraq,2002,536.46157
israel,2002,248.98794
kuwait,2002,276.10714
oman,2002,76.04518
qatar,2002,64.19841
saudi_arabia,2002,1809.55534
united_arab_emirates,2002,407.07025
other_middle_east,2002,608.44506
total_middle_east,2002,5436.43271
algeria,2002,220.02227
egypt,2002,529.31184
morocco,2002,157.45836
south_africa,2002,478.31167
eastern_africa,2002,289.33374
middle_africa,2002,101.60189
western_africa,2002,436.53396
other_northern_africa,2002,314.40733
other_southern_africa,2002,35.28645
total_africa,2002,2562.26751
australia,2002,840.21351
bangladesh,2002,73.73307
china,2002,5144.31701
china_hong_kong_sar,2002,265.65414
india,2002,2382.51114
indonesia,2002,1160.2855
japan,2002,5449.2739
malaysia,2002,590.37851
new_zealand,2002,136.76605
pakistan,2002,357.75107
philippines,2002,329.13973
singapore,2002,714.56266
south_korea,2002,2266.73869
sri_lanka,2002,78.44122
taiwan,2002,923.34043
thailand,2002,816.45098
vietnam,2002,208.43753
other_asia_pacific,2002,216.29663
total_asia_pacific,2002,21954.29177
total_world,2002,78322.05977
canada,2003,2301.75799
mexico,2003,1994.33837
united_states,2003,19848.28151
total_north_america,2003,24144.37786
argentina,2003,443.36775
brazil,2003,1875.26098
chile,2003,243.93935
colombia,2003,237.44878
ecuador,2003,147.51271
peru,2003,137.90611
trinidad_tobago,2003,33.2009
venezuela,2003,492.26577
central_america,2003,301.1575
other_caribbean,2003,796.77493
other_south_america,2003,128.49883
total_south_central_america,2003,4837.33362
austria,2003,287.44321
belgium,2003,656.52433
bulgaria,2003,100.16821
croatia,2003,93.12877
cyprus,2003,52.17682
czech_republic,2003,182.88719
denmark,2003,188.31951
estonia,2003,27.1669
finland,2003,226.15819
france,2003,1946.96652
germany,2003,2632.04728
greece,2003,427.40859
hungary,2003,128.38341
iceland,2003,16.22886
ireland,2003,174.41571
italy,2003,1915.49753
latvia,2003,31.19604
lithuania,2003,49.89099
luxembourg,2003,55.8778
netherlands,2003,901.02015
north_macedonia,2003,17.15318
norway,2003,224.18732
poland,2003,439.93288
portugal,2003,321.65037
romania,2003,194.17433
slovakia,2003,70.35976
slovenia,2003,51.05096
spain,2003,1501.06742
sweden,2003,364.24252
switzerland,2003,257.03501
turkey,2003,642.73567
ukraine,2003,295.95068
united_kingdom,2003,1715.03962
other_europe,2003,259.26962
total_europe,2003,16446.75534
azerbaijan,2003,84.43192
belarus,2003,164.43584
kazakhstan,2003,170.99414
russian_federation,2003,2652.55179
turkmenistan,2003,96.70424
uzbekistan,2003,119.47463
other_cis,2003,36.20888
total_cis,2003,3324.80143
iran,2003,1419.56093
iraq,2003,483.90786
israel,2003,256.10101
kuwait,2003,331.63769
oman,2003,72.87998
qatar,2003,80.01996
saudi_arabia,2003,1909.5403
united_arab_emirates,2003,447.93611
other_middle_east,2003,625.87859
total_middle_east,2003,5627.46241
algeria,2003,228.93781
egypt,2003,544.23247
morocco,2003,158.45358
south_africa,2003,495.32322
eastern_africa,2003,292.99128
middle_africa,2003,111.25733
western_africa,2003,421.1641
other_northern_africa,2003,337.45183
other_southern_africa,2003,36.73122
total_africa,2003,2626.54285
australia,2003,835.70703
bangladesh,2003,75.60311
china,2003,5738.23004
china_hong_kong_sar,2003,267.13279
india,2003,2434.47545
indonesia,2003,1196.86957
japan,2003,5595.12996
malaysia,2003,621.01567
new_zealand,2003,144.74523
pakistan,2003,320.16307
philippines,2003,327.97534
singapore,2003,663.38742
south_korea,2003,2284.22136
sri_lanka,2003,77.51462
taiwan,2003,967.67205
thailand,2003,897.35408
vietnam,2003,223.04896
other_asia_pacific,2003,221.59497
total_asia_pacific,2003,22891.84074
total_world,2003,79899.11425
canada,2004,2400.70514
mexico,2004,2085.93236
united_states,2004,20498.32449
total_north_america,2004,24984.96199
argentina,2004,482.59899
brazil,2004,1937.13146
chile,2004,267.19166
colombia,2004,254.68487
ecuador,2004,154.56461
peru,2004,151.90482
trinidad_tobago,2004,35.4431
venezuela,2004,526.73048
central_america,2004,309.50245
other_caribbean,2004,795.4657
other_south_america,2004,137.36422
total_south_central_america,2004,5052.58236
austria,2004,291.3274
belgium,2004,661.99584
bulgaria,2004,96.66265
croatia,2004,88.03045
cyprus,2004,50.6621
czech_republic,2004,201.1057
denmark,2004,184.83158
estonia,2004,27.41432
finland,2004,212.39366
france,2004,1958.92736
germany,2004,2597.08896
greece,2004,417.73326
hungary,2004,136.18369
iceland,2004,16.99608
ireland,2004,182.238
italy,2004,1897.1079
latvia,2004,33.4656
lithuania,2004,53.81194
luxembourg,2004,62.97559
netherlands,2004,938.19252
